Scottish Government
Jammu and Kashmir
IICE computers
HCL Technologies - Noida
Wipro Technologies Pune - Pune
Stemmons business pvt ltd - Vadodara
Thomson Reuters India Private Limited - Bangalore
Hewlett Packard
Global - Bangalore
ERICSSON INDIA PRIVATE - Bangalore
Capillary Technologies - Bangalore
WIPRO INFOTECH - Mumbai
BNKe Solution Pvt
Ltd - Kolkata
West Bengal
HCL Services Ltd - Coimbatore
Sri Krishna Agency
Knoah Solutions Pvt Ltd - Hyderabad
Minacs
Jhaveri Securties Ltd
Enlightenment99 Software Consultants Pvt
Bosch Limited - Chandigarh
Bosch Limited - Bangalore
Bosch Limited
Tikona Infinet Ltd - Chennai
Tikona Infinet Ltd
Textron India Private Limited - Bangalore
National Aerospace Laboratories - Bangalore
E-Tech
ABB Saudi on CBSbutler contract - Saudi Arabia
Reliance - Mumbai
Wipro Infotech - Bangalore
Worley Parsons Oman Engineering LLC
ABB GISL Bangalore - Bangalore
Invensys India Pvt Ltd - Chennai
Shivaami Cloud Services Pvt Ltd - Mumbai
TATA Teleservice Limited - Mumbai
Sutherland Global Services - Mumbai
Intelenet Global Pvt
Ltd Sep 2010- June 2011 - Mumbai
Here India Solutions Pvt
Ltd - Airoli
Vendor Management - Mumbai
Ugam Solutions Pvt
Ltd - Thane
Beltronics Consultancy
Beltronics Consultancy - Goregaon
Alphabetics Computer Service Pvt
Eyetech Pvt Ltd - Noida
Pandaje Group - Noida
Intuites Infohub pvt ltd - Noida
IYOGI Technical Services Pvt
Ltd - Gurgaon
Lime Spot Technologies - Noida
Unisys Global Services India - Bangalore
AGEIS - Bangalore
Vodafone Process in Vertex Customer
BT Global Services - Gurgaon
Perfint Healthcare Pvt
Chennai
Tamil Nadu - Delhi
Biomedical Division - New Delhi
Medical Point (India) Ltd
(Hospimedica Group) - New Delhi
Keysight Technologies
Scholastic International
Aptara Inc - Noida
Valuecart
in
Tech Mahindra - Hyderabad
Sutherland global services
INFOSYS BPO PVT LTD - Chennai
White Lotuss Mediaa Works Pvt Ltd
TCS - Chennai
Dimension Data India LTD - Mumbai
Reliance Globalcom Management PVT LTD
Infosys LTD - Pune
Proactive Network Monitoring - Mumbai
Network Support - Mumbai
Wipro InfoTech Ltd - Belapur
BANGLA
Jigsaw Academy - Bangalore
Sanovi Technologies Private Limited - Bangalore
Abu Dhabi Islamic Bank - Abu Dhabi
Sanovi Technologies - Bangalore
Union Bank of Switzerland - Stamford
CT
Nynex Science & Technology (Now Verizon) - White Plains
Ascom Timeplex Inc - Woodcliff Lake
NJ
Coromandel Software Ltd - Bangalore
NOVARTIS HEALTH CARE PRIVATE LIMITED - Hyderabad
Manufacturing- Production - Bangalore
HCL Comnet
Accenture Services Private Ltd
Sutherland Global Services
HCL Technologies - Chennai
HCL Comnet Ltd Noida - Noida
NetMax Technologies Pvt
Ltd - Chandigarh
Staples Development Center - Seattle
CorVel Corporation - Portland
OR
Merck Research Labs - North Wales
Churchill Downs Inc - Louisville
KY
Churchill Downs Inc - New York
MP Council of Science - Bhopal
Shreeram Advertising & Marketing - Bhopal
AT&T - MY
AT&T thru Encora Technologies
ACS - Franchise of Wipro
Abhinand Computer Services
Franchise of Wipro
Adobe Systems - Noida
Samsung India Electronics Pvt
Amazon
com
Swiss School of Language
EMC Corporation - HP
Accenture Services Pvt
Project & Quality - Gurgaon
C&S Electric Ltd - Noida
Spaceage Switchgears Limited
Taneja Auto Private Limited
Confidential - Bopal
C-Exmart pvt ltd - Noida
BGM TELECOMMUNICATIONS PVT
LTD
BGM HOLDING COMPANY
Sun Life Financial - Wellesley
MA
American Safety Insurance - Atlanta
The Hanover Insurance Group - Worcester
Prudential Financial - Roseland
Virinchi Technologies - Hyderabad
IRS
Janesville Acoustics - Warrensburg
MO
Meteor Sealing Systems LLC - Dover
OH
Badve Engineering Ltd
- Aurangabad
Korrocoat Polymers Pvt
- Pune
Pune Metagraph - Pune
First Data - Thane
WNS Global Services Private Limited
Mindtree Ltd
AL JAZEA INDUSTRIAL COMPANY - DAMMAM - KINGDOM OF SAUDI ARABIA
NATIONAL INDUSTRIES COMPANY FOR BUILDING MATERIALS - KUWAIT - KUWAIT
COSMOPLAST INDUSTRIES WLL - SHARJAH - U
A
E
AL WASSEL IRRIGATION SYSTEM FACTORY" Buraidah - BURAIDAH - AL QASSIM - KINGDOM OF SAUDI ARABIA
INTEGRATED THERMOPLASTICS LTD - Hyderabad
Serco Global Services - Mumbai
Wipro BPO
Adventity
AEGIS Limited
Yes Bank Ltd
Citibank N
Convergys India Services
RSL infotech - Krishnagiri
Limeroad
Deals N You Pvt
Fashion N You Pvt
DHL Express India Pvt Ltd
Quintiles IMS India Pvt Ltd - Bangalore
BASF Catalysts India Pvt Ltd - Chennai
Caterpillar India Pvt Ltd - Chennai
Cadd Mission Technologies - Chennai
Visteon Powertrain control Systems India Pvt
Ltd - Chennai
Shanrag Machine Tools - Coimbatore
Global Logic Private Limited
Minvesta Infotech Limited
Administrator Work At Bharat Electronics Limited
Smart card division
Bangalore - Chennai
Hewlett Packard Enterprise Pvt
Bell Canada
Infosys Ltd Ltd - Hyderabad
CMC Ltd - Bangalore
CMC Ltd - Hyderabad
Chirayu Medical College and Hospital - Bhopal
Accenture Service Pvt Ltd
Tera Software Limited - Mumbai
NIIT Technologies
IT Source India Pvt Ltd - Navi Mumbai
Reena Info Tech pvt ltd - Hyderabad
Unisys - Bangalore
IBMC India Pvt Ltd - Bangalore
Confidential - Contact for further details - Hyderabad
Tata Consultancy Services (TCS) - Bangalore
Plumslice Lab
Cygnet Infotech Pvt Ltd
eClinicalWorks Pvt Ltd
Plumslice Lab Pvt Ltd
NWR - Hyderabad
DuPont & Chemorus
Estee Lauder Corporation
Uclid IT School Hyderabad - Hyderabad
Velocis Systems Pvt
- Kolkata
Neelkanth Digital Infonet Pvt
eCentric Solution Pvt
- New Delhi
Protex Computer Pvt
Linkcon Infotech / Linkcon llc - Kolkata
Vernalis Systems Pvt Ltd - Chennai
KG Financial Softwares Ltd - Coimbatore
Sabre Travel Technologies
IBM INDIA PVT LTD
HCL Technologies
Free Lancer Ltd
WSI IT Solutions Pvt Ltd - Hyderabad
RSystems International - Noida
IBM GLOBAL SERVICES PVT LTD - Hyderabad
Pitti Laminations Ltd - Hyderabad
Tata Consultancy Services (TCS) - Kolkata
CSR ERP Solutions Private Limited
Royapettah - Chennai
Configure
eCentric Solutions Pvt Ltd
- Hyderabad
HCL Services Ltd (A subsidiary of HCL INFOSYSTEMS LTD
) - Mumbai
SINAI Computers - Mumbai
kochar info tech pvt ltd - Kolkata
Seven Years - Kolkata
Yes bank and Kotak Mahindra bank and MLIC
ABG
NIB and WCC - Bangalore
Wipro Technologies customer - IS
IndiGo (INTERGLOBE ENTERPRISES) - Gurgaon
Patch/Update Management
Mac Clinic Media Sloutions Pvt
Ltd - Delhi
Mudra IT And Power - Delhi
HCL Services Ltd - Chennai
WIPRO PROJECT
NIIT - Chennai
Heritage Foods Limited
- Ongole
Engenius Consultancy Services - Hyderabad
Vigilm Life Style Pvt Ltd - Bangalore
TATA consultancy Services Limited
HSBC-Offshore Desktop Support - Hyderabad
HSBC Bank Electronic Data Processing India Ltd - Hyderabad
Avaya - Kolkata
Iyogi Technical Services - Kolkata
Hewlett-Packard and Talk - Kolkata
Crown Solutions India Pvt Ltd - Chennai
Vihaan IT Solutions - Hyderabad
Look in to Asset Management
IMSI India PVT LTD
Oriental Manufacture pvt ltd
Meridian info Tech Ltd - Vadodara
Feedback Infra Pvt Ltd
SGFX Pvt Ltd
Ai IT Solutions - Visakhapatnam
KMS Pvt
ltd
Redington Gulf FZE- India Branch - Chennai
Fiducia Infotek - Chennai
AEL Data Service LLP - Chennai
NICT Computer Education - Chennai
Transcrop Enterprises - Patna
Bihar
ICICI BANK - New Delhi
HDFC BANK - New Delhi
Medsave India Pvt LTD
Kaizen IT Services Pvt ltd
- Bokaro Steel City
Jharkhand
CMS IT Services Private Limited - Angul
Orissa
Firstsource Ltd - Bhubaneshwar
Kanishka Institute Of Network Technology - Bhubaneshwar
Info World - Angul
Anand Rathi Share & Stock brokers Ltd - Mumbai
Tata Consultancy Services (TCS) - Chennai
AG solution
Earlyfashions pvt ltd
Future Focus Infotech pvt
- Chennai
Crown solutions (p) LTD
Sri kumaran info system - Chennai
Pearson Education Services Pvt Ltd - Ahmedabad
Knoah Solutions - Hyderabad
Mahindra Satyam BPO - Hyderabad
CSS Corp - Chennai
QuarkXPress Publishing - Mohali
Punjab
IBM DAKSH Business Process Pvt
MEDUSIND Solutions India Pvt
G
Aero-Vision Electronics Pvt
LTD - Himachal Pradesh
M3BI
Wipro - New Delhi
Sykes International Private Limited - Hyderabad
Cubic Logics India (P) Ltd
Bangalore - Bangalore
NIIT Ltd (Space Central School) SDSC SHAR - Nellore
Chadalawada Venkata Subbaiah College - Tirupati
Gokula Krishna College - Nellore
LAST PEAK DATA PVT
LTD - Kolkata
Iyogi Technical Services
MICROSOFT - Bangalore
Hinduja Global Solution - Bangalore
Wipro Infotech Limited - Mysore
IBM Daksh Business Process Services
DELL International Services India Pvt Ltd - Gurgaon
AuxiCogent BPO Solutions Pvt Limited - Gurgaon
Wipro BPO Solutions - New Delhi
Concentrix - Bangalore
Odebrecht - São Paulo
SP
Entercom Microsystems - São Paulo
Agência de marketing Actwork
Agência de comunicação e Design Ivoire
eVision Agência Digital - São Paulo
Promus Brindes
HTC Web Tecnologia
Catskillet - Fortaleza
CE
Caixa Seguradora S
- Fortaleza
Superintendência Regional da Caixa - Fortaleza
Future Jobs - Fortaleza
CENAPAD - UFC - Fortaleza
Tiki - São José
SC
Chute Corporation - San Francisco Bay Area
Grupo Globo / GRPCOM - Curitiba
PR
18 Comunicação - Belo Horizonte
MG
Web2ez - Belo Horizonte
Opa Tecnologia - Belo Horizonte
Print4me - Belo Horizonte
VC
2B - São Paulo
Med Cine Editora e Filmagens - São Paulo
AutoMate do Brasil - São Paulo
White Box Studio - São Paulo
AGTECH Soluções em Tecnologia LTDA - São Paulo
ITRIAD - Manaus
AM
AXM CONSULTORIA E DESENVOLVIMENTO EMPRESARIAL LTDA - Manaus
Polícia Civil do Amazonas - Manaus
JLV ANDAIMES
FÔRMAS E ESCORAMENTOS LTDA
- Manaus
Secretaria de Estado Segurança Pública AM
empresa terceirizada PROSAM
Satya Sistemas - Belo Horizonte
Synopsys - Belo Horizonte
MAV Tecnologia - Belo Horizonte
UFMG - Belo Horizonte
JungleCoders - KohTao
Thailand
Empresas
Miles 33 - Belo Horizonte
(Android) para empresa Usiminas
Selenium
Consignum - Cuiabá
MT
DATAPREV-Empresa de Tecnologia e Informações da Previdência Social
SEDTUR
Jornal "O Documento"
GFT TECHNOLOGIES - Curitiba
VISIONNAIRE INFORMÁTICA S
- Curitiba
i-Serv Consultoria Empresarial Ltda
Partec Tecnologia Ltda
(Softpar) - Curitiba
HSBC Global Technology Brazil - Curitiba
WB4B Negócios Online - Curitiba
Unisistemas - Curitiba
Accenture / Vivere Brasil - São Paulo
Stefanini IT Solutions - São Paulo
Magna Sistemas e Consultoria
- São Paulo
Telecomunicações de São Paulo S/A - São Paulo
IPT - São Paulo
Controlux - Porto Alegre
RS
AlphaPark Estacionamentos - Porto Alegre
Grupo Isdra - Porto Alegre
Meta
Campania
Salvador City Hall
Stefanini
Unitech
Roboticando - Santo André
TOTVS - São Paulo
ATECH Critical Systems - São Paulo
ASGA SA - Paulínia
LG Electronics - São Paulo
ERICSSON R&D - Indaiatuba
CITS - International Centre of Software Technology - Curitiba
Volvo IT - Curitiba
HSBC GLT - Curitiba
Politec Global IT - Recife
PE
Pitang Agile IT - Recife
Sophia Solutions - Recife
Bradesco Bank - Recife
Fabulare Publicidade e Propaganda - Mogi Guaçu
BANCO DO BRASIL
STEFANINI IT SOLUTIONS
Wplex - Florianópolis
Webcota - Balneário Camboriú
Videosoft - Balneário Camboriú
Geosapiens - Itajaí
Freelance - Balneário Camboriú
IBM BRASIL - INDÚSTRIA
MÁQUINAS E SERVIÇOS LTDA - São Paulo
Atlantic Solutions - São Paulo
Pandata Informática - São Paulo
FIAP - São Paulo
Logica America do Sul
Sede Info
Ci&T - Campinas
OWN Web & Mobile - Campinas
Agenzzia - Campinas
PLUS-IT CONSULTING - Valinhos
Laboratório Bridge - Florianópolis
Catnigiri - Florianópolis
SCGames - Florianópolis
Númera - Florianópolis
IBM Brasil - São Paulo
Ericsson - São Paulo
Bravi Software - Florianópolis
BRy Tecnologia - Florianópolis
UNIVERSIDADE FEDERAL DE SANTA MARIA - Florianópolis
IDooh TAXIADV - Curitiba
Mercedes-Benz/Arctouch - San Francisco
Walmart Labs/Arctouch - Sunnyvale
Foneville's Snapfone/Arctouch - San Francisco
Disney/Arctouch - San Francisco
HSBC Global Asset Management - London
HSBC Global Banking and Markets - Curitiba
Paint Pack Serviços Gráficos - São Paulo
Pivot Midia Digital - São Paulo
Discover Technology - São Paulo
WebProvider - Barueri
Teknisa Software - Belo Horizonte
ADITI - Gestão e TI - Belo Horizonte
Sense8 Interactive - Belo Horizonte
FUMEC/FEA - Belo Horizonte
FUMEC/FACE - Belo Horizonte
SystemSat - Vehicle Tracking Solutions - Niterói
BR
Gaudium - Mobile Development Company - Rio de Janeiro
PRODESP
Hyundai Motors
Universidade Metodista de São Paulo - São Paulo
Fabrica de Software IPE - João Pessoa
PB
Ambush Consulting
NTConsult
ThoughtWorks
Conta Mínima - São José
Secretaria de Estado de Comunicação do Pará - SECOM - Belém
WTEC Consultoria e Serviços LTDA - Belém
Uimmer - Florianópolis
Projetos Pessoais e Freelas
TOTVS S
A - Joinville
Santa Catarina
Trier Sistemas - Tubarão
Solução Simples TI - Tubarão
Nexxera - Tubarão
UNISUL - Tubarão
Meta Sistemas e Assessoria - Santos
Instituto Vencer de Desenvolvimento Humano - Santos
Inetx Consultoria - São Paulo
Talent Four Consulting - São Paulo
Exe Engenharia - Curitiba
Tetris Junior Enterprise - Curitiba
BioLogica Sistemas
Centro Universitário La Salle - Niteroi
RJ
Universidade Carioca
Universidade Carioca - Rio
Sakonnet Technology LLC
Electronic Data Systems
Agência Click
Interconection IT S/A
DaitanGroup
CAPGEMINI
MARVEL Characters Wiki
DAC ENGENHARIA
Samsung - SIDIA - Manaus
Moden Engenharia Ltda - Manaus
Lab
of Electronic Instrumentation and Controle - Campina Grande
Budapest University of Technology and Economics - BME - Budapest
of Embedded Systems and Pervasive Computing - Campina Grande
ThyssenKrupp Industrial Services - Rio de Janeiro
Pitagoras College - São Luís
Vale - Rio de Janeiro
Alumar Consortium
Usp - São Paulo
CEMAR - Energy Cia of Maranhão
Call Tecnologia - São Paulo
Construtora Norberto Odebrecht - Rio de Janeiro
CEMIG - Belo Horizonte
CONCREMAT Engenharia e Tecnologia S/A
- Belo Horizonte
Schneider Electric - Sumaré
Colégio Ápice - Campinas
Volkswagen do Brasil - São Bernardo do Campo
Volkswagen AG - Wolfsburg
Volkswagem do Brasil - São Bernardo do Campo
General Motors do Brasil - São Caetano do Sul
Fada Imagem e Informação LTDA - São Paulo
Tivit Terceirização de Processos
Serviços e Tecnologia - Rio de Janeiro
NEORIS DO BRASIL LTDA
- Rio de Janeiro
NETCENTER SERVIÇOS DE INFORMÁTICA LTDA
ESCRITÓRIO CONTABILIDADE SÃO JUDAS TADEU
MARKO CONSTRUÇÕES IND
E COMERCIO LTDA
EMBRAER S
Projeto de Conclusão de Curso - UFU - Uberlândia
Airbus Helicopters
ALSTOM - Aytré
França
SABO Impianti - Itu
Verdés S/A - Itu
NETSU Equipamentos Industriais Ltda - Sorocaba
Essilor da Amazônia Ltda
Siemens Eletroeletronica - Manaus
Excel avançado (UEA)
GREIF - Embalagens Industriais
Procter & Gamble
Abbott - São Paulo
Rastreabilidade Brasil - São Paulo
NOVARTIS
FACULDADE SENAI DE TECNOLOGIA LUIZ ADELAR SCHEUER
BECTON DICKINSON S/A
NOVO NORDISK PRODUÇÃO FARMACÊUTICA DO BRASIL
PADO S
ROMAG PISOS E REVESTIMENTOS
MINUILA
LDA - Luanda
ICLOSONDA FUNDAÇÕES LTDA - Rio de Janeiro
LDA - LUANDA
AO
BIMETAL INDÚSTRIA METALÚRGICA LTDA
SR DIAS SERVICE - Juiz de Fora
CASSAR ENGENHARIA LTDA - Rio de Janeiro
ENGESITE TELECOM LTDA - Rio de Janeiro
CARPO ENGENHARIA LTDA - Juiz de Fora
AGUIAR VILLELA ENGENHARIA E CONSTRUÇÕES LTDA
Magneti Marelli Ind
e Com
Ltda
Instituto de Pesquisas Eldorado - Eldorado
Motorola Industrial Ltda
Magneti Marelli do Brasil Ind
Com
Siemens Automotive Ltda
Desenvolvimento de Fornecedores
Engenharia Industrial e de Processo
Piran Participacoes
Hertz do Brasil Ltda - João Pessoa
Impact College
Heckfield Place
MWM International Engines South America Ltda
MWM Motores Diesel Ltda
Jewa Comercio de Automóveis Ltda
LACRI UFPE - Recife
LABSC UTFPR - Curitiba
Student Space Programs Laboratory - University Park
Siemens Enterprise Communications - Curitiba
DATACOM Telematica - Curitiba
Cinq Technologies - Curitiba
CCI Construções Offshore S
A - Recife
IEEE - Institute of Electrical and Electronics Engineers - João Pessoa
Autônomo - João Pessoa
Centrais Elétricas da Paraíba S A - João Pessoa
IEEE – ETR9 (Equipe de Tradução da Região 9
América Latina)
Instituto Federal de Educação Ciência e Tecnologia da Paraíba (IFPB) - João Pessoa
Instituto Centro de Educação Tecnológica (CET) - João Pessoa
Faiveley Transport do Brasil S
A - São Paulo
Grupo Jedal-Redentor Ind
Ltda - Osasco
- Osasco
TELSAN Engenharia - Duque de Caxias
GERIS Engenharia - Manaus
ATP Engenharia - Manaus
JPTE Engenharia - Cubatão
Núcleo Engenharia - Cubatão
Unimin do Brasil - Barueri
Progen Engenharia - São Paulo
LabFT/LSTM
Bco
Santander
Bentley Systems Brasil LTDA - Rio de Janeiro
Estaleiro Mauá-Jurong SA
- Niterói
Thalweg Consultoria e Projetos Geológicos LTDA - Niterói
Projemar Projetos de Engenharia - Rio de Janeiro
Thalweg Consultoria e Projetos Geológicos LTDA - Rio de Janeiro
General Electric Health Care - São Paulo
General Electric Transportation - Belo Horizonte
Towers Watson Consulting - São Paulo
Qualcomm Technology - San Diego
Grupo VDA - Manaus
Comau of Brazil Ind
TUPY - Joinville
CCM-ITA - São José dos Campos
Fibraforte
Engenharia
Indústria e Comércio Ltda - São José dos Campos
Institut fur Produktion und Technologie - IPT - Aachen
INCURSOS – Instituto Nacional de Cursos e Pesquisas www
incursos
net - Goiânia
GO
PUC-GO (Pontifical University Catholic of Goias) - Goiânia
INFRAERO - Goiânia
Hirata & Associados – www
hirataeassociados
br - Goiânia
BLOCO ENGENHARIA - Goiânia
Petrobras - Rio de Janeiro
MUXI (APPI Tecnologia) - Rio de Janeiro
NETikos - Rio de Janeiro
Symprise e-Business Solutions Rio de Janeiro - Rio de Janeiro
UFRJ - Rio de Janeiro
FOXCONN BRASIL INDÚSTRIA E COMÉRCIO LTDA - Jundiaí
SP - Jundiaí
JPMORGAN CHASE VASTERA - São Paulo
SOFTWAY(Acquired by Thompson Reuters) - Campinas
TRADEWORKS SISTEMAS - Campinas
Fidelity - São Paulo
Holcim - São Paulo
Sitel do Brasil - São Paulo
ACCENTURE - Rio de Janeiro
TermoRio S/A
Construtora União Proj
Eng
e C
Ltda / Radiall do Brasil C
Ltda - Rio de Janeiro
Michelin Tires
Sama S
– Minerações Associadas - Minaçu
Projeção Informática LTDA - Goiânia
Inforsystem Informática LTDA - Goiânia
Canion Software - Goiânia
Convenia - São Paulo
NEOASSIST - São Paulo
Dafiti - São Paulo
Grupo Factor Business Solutions - Santos
4
